00144539951;       354,92;000000035;000000000;000000035;000000000;PREF M BELO HORIZONTE PRACA        ;Y22G 1407841                                                                                                                                                                                                                                                        ;25/8/2025 ;PR;ENGENHEIRO IRON MARRA                   ;00000;  ;            ;SANTA AMELIA                  ;.
00129217654;        91,56;000000005;000000005;000000005;000000005;PREF M BELO HORIZONTE PRACA        ;Y13N 0355585                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;GUARAPARI                               ;00000;  ;            ;SANTA AMELIA                  ;.
00003146065;    12.325,27;000000466;000000466;000000466;000000466;PREF M BELO HORIZONTE SEC CULTURA  ;A18N 0345151 A18N 0345009                                                                                                                                                                                                                                           ;25/8/2025 ;AV;OTACILIO NEGRAO DE LIMA                 ;16585;  ;            ;JARDIM ATLANTICO              ;.
00123964482;        34,22;000000001;000000000;000000001;000000000;PREF M BELO HORIZONTE              ;Y11F 0693612R                                                                                                                                                                                                                                                       ;25/8/2025 ;AV;OTACILIO NEGRAO DE LIMA                 ;16840;  ;            ;JARDIM ATLANTICO              ;.
00003059286;     1.528,10;000000073;000000073;000000073;000000073;PREF M BELO HORIZONTE              ;A22G 0202157                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;OTACILIO NEGRAO DE LIMA                 ;16950;  ;            ;JARDIM ATLANTICO              ;.
00147326389;     4.228,16;000000174;000000174;000000174;000000174;PREF M BELO HORIZONTE CENTO SAUDE  ;Y25LN7044701                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CABO VALERIO SANTOS                     ;00285;  ;            ;BARREIRO                      ;.
00110102428;       353,02;000000022;000000022;000000022;000000022;PREF M BELO HORIZONTE URPV ATILA   ;Y21G 0685864                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;DO CANAL                                ;00068;  ;            ;ATILA DE PAIVA                ;.
00175690774;        52,69;000000005;000000000;000000005;000000000;PREF M BELO HORIZONTE              ;Y24S 0059707                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;TERESA CRISTINA                         ;00010;  ;            ;ATILA DE PAIVA                ;.
00002464586;    30.924,34;000001112;000001112;000001112;000001112;PREF M BELO HORIZONTE EM PE FLAVIO ;A24HX0001253                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;SEBASTIAO MARIA DA SILVA                ;00175;  ;            ;ATILA DE PAIVA                ;.
00011656310;     2.900,82;000000129;000000129;000000129;000000129;PREF M BELO HORIZONTE EM PE FLAVIO ;Y21G 0980416                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;PASTOR FRANCISCO PESSOA                 ;00148;LG;9           ;ATILA DE PAIVA                ;.
00027863573;        29,61;000000000;000000000;000000000;000000000;PREF M BELO HORIZONTE PRACA        ;A24HX0042065                                                                                                                                                                                                                                                        ;25/8/2025 ;PR;JOSE RICARDO DE MOURA                   ;99999;  ;            ;ADEMAR MALDONADO              ;.
00016044932;        29,65;000000000;000000000;000000000;000000000;PREF M BELO HORIZONTE PRACA        ;Y18G 0453933                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;QUINCAS BORBA                           ;00000;  ;            ;ADEMAR MALDONADO              ;.
00108072215;        80,43;000000009;000000000;000000009;000000000;PREF M BELO HORIZONTE              ;Y22G 1513710                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;ALCINDO GONCALVES COTTA                 ;00000;  ;            ;DIAMANTE                      ;.
00131372246;     2.095,19;000000096;000000096;000000096;000000096;PREF M BELO HORIZONTE UMEI MALDONAD;A24HX0048738                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;SOUZA DANTAS                            ;00130;  ;            ;DIAMANTE                      ;.
00144809753;       231,89;000000015;000000015;000000015;000000015;PREF M BELO HORIZONTE PRACA        ;Y21G 0896775                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;JOSE GONCALVES                          ;00095;  ;            ;SANTA MARGARIDA               ;.
00015396274;     1.773,53;000000083;000000083;000000083;000000083;PREF M BELO HORIZONTE EM JOSE BRAZ ;A19N 0413173                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;JOSE ZUQUIM                             ;00210;  ;            ;BARREIRO                      ;.
00173594191;       183,55;000000012;000000012;000000012;000000012;PREF M BELO HORIZONTE              ;Y24G 0059986                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;AFONSO VAZ DE MELO                      ;00000;LG;PR CRISTO RE;BARREIRO                      ;.
00115566325;        39,41;000000002;000000000;000000002;000000000;PREF M BELO HORIZONTE PRACA PUC    ;Y18F 0717963                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;AFONSO VAZ DE MELO                      ;00000;  ;            ;BARREIRO                      ;.
00114925828;    27.416,28;000000989;000000989;000000989;000000989;PREF M BELO HORIZONTE REST POPULAR ;E17B 0791238                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;AFONSO VAZ DE MELO                      ;01001;  ;            ;BARREIRO                      ;.
00002424304;       987,86;000000051;000000051;000000051;000000051;PREF M BELO HORIZONTE SLU          ;A22G 0221031                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;SOUZA MAGALHAES                         ;00988;  ;            ;BARREIRO                      ;.
00016150414;       352,37;000000022;000000022;000000022;000000022;PREF M BELO HORIZONTE SLU MPA      ;G23CV8002159                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;VICENTE DE AZEVEDO                      ;00301;  ;            ;BARREIRO                      ;.
00025752022;       697,92;000000039;000000039;000000039;000000039;PREF M BELO HORIZONTE VELORIO      ;A22G 0221011                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;VICENTE DE AZEVEDO                      ;00393;  ;            ;BARREIRO                      ;.
00176013971;        34,41;000000001;000000000;000000001;000000000;PREF M BELO HORIZONTE              ;Y24S 0123677                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;JOSE GONCALVES                          ;00000;LG;BEBEDOURO   ;BARREIRO                      ;.
00161127231;     2.410,28;000000109;000000109;000000109;000000109;PREF M BELO HORIZONTE C S C R DIAS ;A22G 0220781                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;JOSE GONCALVES                          ;00375;  ;            ;BARREIRO                      ;.
00002434229;       791,50;000000043;000000043;000000043;000000043;PREF M BELO HORIZONTE SINE         ;Y23G 1262062                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;BARAO DE COROMANDEL                     ;00982;  ;            ;BARREIRO                      ;.
00014353920;     2.440,47;000000110;000000110;000000110;000000110;PREF M BELO HORIZONTE FARMACIA     ;Y21G 0685770                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;BOAVENTURA COSTA                        ;00369;  ;            ;BARREIRO                      ;.
00150370300;    18.582,52;000000652;000000652;000000652;000000652;PREF M BELO HORIZONTE BHTRANS BARRE;E17B 0791305                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;BOAVENTURA COSTA                        ;00051;  ;            ;BARREIRO                      ;.
00002584379;       555,52;000000032;000000032;000000032;000000032;PREF M BELO HORIZONTE CONS TUTELAR ;A19N 0090625                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;LUCIO DOS SANTOS                        ;00425;  ;            ;BARREIRO                      ;.
00168539942;        61,99;000000006;000000000;000000006;000000000;PREF M BELO HORIZONTE              ;Y22G 1459029                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;AMERICO MAGALHAES                       ;01001;LG;PRACINHA    ;BARREIRO                      ;.
00002099098;       889,82;000000047;000000047;000000047;000000047;PREF M BELO HORIZONTE SEC SAUDE    ;A15L 0074644                                                                                                                                                                                                                                                        ;25/8/2025 ;PR;DO ENSINO                               ;00240;  ;            ;ALPES                         ;.
00118654705;     1.874,85;000000087;000000087;000000087;000000087;PREF M BELO HORIZONTE UMEI         ;A24HX0000384                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;DEZENOVE DE DEZEMBRO                    ;00331;  ;            ;LEONINA                       ;.
00002024594;       473,79;000000028;000000028;000000028;000000028;PREF M BELO HORIZONTE CRAS HAVAI VE;Y24S 0173294                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;DONA NICOLINA LIMA                      ;00316;  ;            ;HAVAI                         ;.
00109543424;     7.826,99;000000310;000000310;000000310;000000310;PREF M BELO HORIZONTE UPA OESTE    ;D17B 0704509                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;BARAO HOMEM DE MELO                     ;01710;LG;1           ;NOVA SUISSA                   ;.
00024742716;    16.646,91;000000616;000000616;000000616;000000616;PREF M BELO HORIZONTE EM SALG FILHO;A13S 0350756                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CLOVIS CYRILO LIMONGE                   ;00151;  ;            ;HAVAI                         ;.
00023856891;     3.556,48;000000155;000000155;000000155;000000155;PREF M BELO HORIZONTE EM F LEOPOLDO;A19N 0088402                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CLOVIS CYRILO LIMONGE                   ;00141;  ;            ;HAVAI                         ;.
00018394949;     2.393,23;000000108;000000108;000000108;000000108;PREF M BELO HORIZONTE EM M MAZARELO;A22G 0200844                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;BENEDITO NEVES                          ;00045;  ;            ;NAZARE                        ;.
00015809480;         0,00;000000001;000000001;000000001;000000001;PREF M BELO HORIZONTE POSTO SAUDE  ;A22G 0200954                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CRUZ DE MALTA                           ;00073;  ;            ;NAZARE                        ;.
00018458874;        67,52;000000002;000000002;000000002;000000002;PREF M BELO HORIZONTE SEC SAUDE    ;A11S 0149728                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;SOCRATES                                ;00930;  ;            ;NAZARE                        ;.
00156944707;     1.770,64;000000083;000000083;000000083;000000083;PREF M BELO HORIZONTE ACADEMIA     ;Y18G 0446957                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;ANIS                                    ;00147;  ;            ;BELMONTE                      ;.
00015262561;     6.528,76;000000265;000000265;000000265;000000265;PREF M BELO HORIZONTE EM CONSUELITA;A22G 0204303                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;DOM SILVERIO GOMES PIMENTA              ;00301;  ;            ;BELMONTE                      ;.
00134974441;    13.998,42;000000524;000000524;000000524;000000524;PREF M BELO HORIZONTE UMEI V MARIA ;Y22S 0236654                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;ZELIA JACINTA DA COSTA                  ;00007;  ;            ;JARDIM VITORIA                ;.
00001266560;     3.860,52;000000168;000000168;000000168;000000168;PREF M BELO HORIZONTE EM PREF SOUSA;A24HX0011576                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;DOS PARAGUAIOS                          ;00097;  ;            ;JARDIM VITORIA                ;.
00114238316;     4.175,32;000000181;000000181;000000181;000000181;PREF M BELO HORIZONTE              ;A22G 0211750                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;D                                       ;00295;  ;            ;VILA MARIA                    ;.
00015305830;     2.641,35;000000118;000000118;000000118;000000118;PREF M BELO HORIZONTE EM M LAGE    ;A24HX0001745                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;ITAGIBA MIRANDA RABELO                  ;00070;  ;            ;VILA MARIA                    ;.
00168356228;     2.510,24;000000113;000000113;000000113;000000113;PREF M BELO HORIZONTE              ;A22G 0213347                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;HERCULANO SOARES ROCHA                  ;00780;  ;            ;IPE                           ;.
00020774711;     4.499,50;000000194;000000194;000000194;000000194;PREF M BELO HORIZONTE EM PROF EDSON;Y24FA0331472                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;NOSSA SENHORA DE FATIMA                 ;01013;  ;            ;NOSSA SENHORA DE FATIMA       ;.
00017890314;     4.429,72;000000191;000000191;000000191;000000191;PREF M BELO HORIZONTE UMEI CAPIVARI;B18F 0008603                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CAPIVARI                                ;01026;  ;            ;MARCOLA                       ;.
00108317277;     2.657,46;000000119;000000119;000000119;000000119;PREF M BELO HORIZONTE CRECHE       ;A15N 0104517                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;MANGABEIRA DA SERRA                     ;00280;  ;            ;MARCOLA                       ;.
00112110436;       535,31;000000031;000000031;000000031;000000031;PREF M BELO HORIZONTE C CULTURAL   ;A15N 0022718                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;MANGABEIRA DA SERRA                     ;00320;  ;            ;MARCOLA                       ;.
00144756765;        91,56;000000005;000000005;000000005;000000005;PREF M BELO HORIZONTE PARQUE       ;Y21G 0942303                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;MANGABEIRA DA SERRA                     ;00281;  ;            ;MARCOLA                       ;.
00172146941;        80,87;000000009;000000000;000000009;000000000;PREF M BELO HORIZONTE PARQUE       ;Y23G 1336707                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;MANGABEIRA DA SERRA                     ;00281;LG;CENT SOCIAL ;MARCOLA                       ;.
00117290238;       864,63;000000046;000000046;000000046;000000046;PREF M BELO HORIZONTE CRAS V FATIMA;A15L 0071742                                                                                                                                                                                                                                                        ;25/8/2025 ;BC;DONA BENTA                              ;00141;  ;            ;NOSSA SENHORA DE FATIMA       ;.
00001148311;     1.061,47;000000054;000000054;000000054;000000054;PREF M BELO HORIZONTE EM M LOBATO  ;B22G 0014053                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;SANTA APOLONIA                          ;00120;  ;            ;DOM JOAQUIM                   ;.
00111978637;        29,65;000000000;000000000;000000000;000000000;PREF M BELO HORIZONTE FRENTE NO 38 ;Y18N 0279378                                                                                                                                                                                                                                                        ;25/8/2025 ;AV;JOSE MARIA ALKIMIM                      ;00000;  ;            ;BELVEDERE                     ;.
00018702660;     2.759,02;000000123;000000123;000000123;000000123;PREF M BELO HORIZONTE EM PIERUCCETI;B22G 0015214                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;BERENICE PRATES                         ;00309;  ;            ;ALVARO CAMARGOS               ;.
00022235965;        34,22;000000001;000000000;000000001;000000000;PREF M BELO HORIZONTE PRACA        ;Y21G 0586935                                                                                                                                                                                                                                                        ;25/8/2025 ;PR;FLOR DE CONFREI                         ;00000;  ;            ;CONJUNTO JARDIM FILADELFIA    ;.
00115967893;     1.331,63;000000065;000000065;000000065;000000065;PREF M BELO HORIZONTE G TRANSBORDO ;A13S 0232002                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CARLOS EDUARDO LOTT                     ;00205;  ;            ;CONJUNTO JARDIM FILADELFIA    ;.
00012734381;    10.559,15;000000405;000000405;000000405;000000405;PREF M BELO HORIZONTE SLU          ;E17B 0700337                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CARLOS EDUARDO LOTT                     ;00205;  ;            ;CONJUNTO JARDIM FILADELFIA    ;.
00017621763;       197,35;000000017;000000000;000000017;000000000;PREF M BELO HORIZONTE SLU          ;A13S 0462724                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CARLOS EDUARDO LOTT                     ;00205;  ;            ;CONJUNTO JARDIM FILADELFIA    ;.
00026158825;    16.129,58;000001013;000000000;000001013;000000000;PREF M BELO HORIZONTE SLU          ;J08SV0000421                                                                                                                                                                                                                                                        ;25/8/2025 ;R ;CARLOS EDUARDO LOTT                     ;00205;LG;03          ;CONJUNTO JARDIM FILADELFIA    ;.
00026159759;     9.508,90;000000613;000000000;000000613;000000000;PREF M BELO HORIZONTE SLU MPA      ;A18N 0486713                                                                                                                                                                                                                                                        ;25/8/2025 ;RD;BR 040                                  ;00000;KM;531         ;CONJUNTO JARDIM FILADELFIA    ;.
